# List Network Requests

| reqid | method | url | status |
|---|---|---|---|
| 569 | GET | http://localhost:5173/companies | failed - 304 |
| 570 | GET | http://localhost:5173/@vite/client | failed - 304 |
| 571 | GET | http://localhost:5173/src/main.tsx?t=1774082418439 | failed - 304 |
| 572 | GET | http://localhost:5173/@react-refresh | failed - 304 |
| 573 | GET | http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=d6a99932 | success - 200 |
| 574 | GET | http://localhost:5173/node_modules/.vite/deps/react.js?v=d6a99932 | success - 200 |
| 575 | GET | http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=d6a99932 | success - 200 |
| 576 | GET | http://localhost:5173/node_modules/.vite/deps/react-redux.js?v=d6a99932 | success - 200 |
| 577 | GET | http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=d6a99932 | success - 200 |
| 578 | GET | http://localhost:5173/src/store/index.ts | failed - 304 |
| 579 | GET | http://localhost:5173/src/components/ThemeProvider.tsx | failed - 304 |
| 580 | GET | http://localhost:5173/src/App.tsx?t=1774082396626 | failed - 304 |
| 581 | GET | http://localhost:5173/src/index.css?t=1774082418439 | failed - 304 |
| 582 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-QCHXOAYK.js?v=d6a99932 | success - 200 |
| 583 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-WOOG5QLI.js?v=d6a99932 | success - 200 |
| 584 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-5GLF3XJW.js?v=d6a99932 | success - 200 |
| 585 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-RPCDYKBN.js?v=d6a99932 | success - 200 |
| 586 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-DP3TOLV7.js?v=d6a99932 | success - 200 |
| 587 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-KBTYAULA.js?v=d6a99932 | success - 200 |
| 588 | GET | http://localhost:5173/node_modules/vite/dist/client/env.mjs | failed - 304 |
| 589 | GET | http://localhost:5173/node_modules/.vite/deps/antd.js?v=d6a99932 | success - 200 |
| 590 | GET | http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=d6a99932 | success - 200 |
| 591 | GET | http://localhost:5173/src/store/slices/authSlice.ts | failed - 304 |
| 592 | GET | http://localhost:5173/src/components/ProtectedRoute.tsx | failed - 304 |
| 593 | GET | http://localhost:5173/src/layouts/AppLayout.tsx | failed - 304 |
| 594 | GET | http://localhost:5173/src/pages/Login.tsx | failed - 304 |
| 595 | GET | http://localhost:5173/src/pages/Dashboard.tsx | failed - 304 |
| 596 | GET | http://localhost:5173/src/pages/CompanyList.tsx | failed - 304 |
| 597 | GET | http://localhost:5173/src/pages/CompanyDetail.tsx | failed - 304 |
| 598 | GET | http://localhost:5173/src/pages/TicketList.tsx | failed - 304 |
| 599 | GET | http://localhost:5173/src/pages/TicketUpload.tsx?t=1774082396626 | failed - 304 |
| 600 | GET | http://localhost:5173/src/pages/TicketReview.tsx | failed - 304 |
| 601 | GET | http://localhost:5173/src/pages/InvoiceList.tsx | failed - 304 |
| 602 | GET | http://localhost:5173/src/pages/Reports.tsx | failed - 304 |
| 603 | GET | http://localhost:5173/src/pages/UserManagement.tsx | failed - 304 |
| 604 | GET | http://localhost:5173/src/pages/SystemSettings.tsx | failed - 304 |
| 605 | GET | http://localhost:5173/src/pages/AuditLogs.tsx | failed - 304 |
| 606 | GET | http://localhost:5173/node_modules/.vite/deps/@reduxjs_toolkit.js?v=d6a99932 | success - 200 |
| 607 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-YCDTOEM4.js?v=d6a99932 | success - 200 |
| 608 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-DY2UPELR.js?v=d6a99932 | success - 200 |
| 609 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-TL73ZIOF.js?v=d6a99932 | success - 200 |
| 610 | GET | http://localhost:5173/node_modules/.vite/deps/chunk-LXCCCTDX.js?v=d6a99932 | success - 200 |
| 611 | GET | http://localhost:5173/src/api/axiosInstance.ts | failed - 304 |
| 612 | GET | http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=d6a99932 | success - 200 |
| 613 | GET | http://localhost:5173/node_modules/.vite/deps/@ant-design_icons.js?v=d6a99932 | success - 200 |
| 614 | GET | http://localhost:5173/src/api/queries.ts | failed - 304 |
| 615 | GET | http://localhost:5173/node_modules/.vite/deps/recharts.js?v=d6a99932 | success - 200 |
| 616 | GET | http://localhost:5173/node_modules/.vite/deps/dayjs.js?v=d6a99932 | success - 200 |
| 617 | GET | http://localhost:5173/node_modules/.vite/deps/axios.js?v=d6a99932 | success - 200 |
| 618 | GET | https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500&family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400&family=Plus+Jakarta+Sans:wght@400;500;600;700&display=swap | success - 200 |
| 619 | GET | https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 | success - 200 |
| 620 | GET | https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTLYgFE_.woff2 | success - 200 |
| 621 | GET | https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgA.woff2 | success - 200 |
| 622 | GET | https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko40yyygA.woff2 | success - 200 |
| 623 | GET | https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yw.woff2 | success - 200 |
| 624 | GET | http://localhost:8080/api/auth/me | success - 200 |
| 625 | GET | http://localhost:8080/api/auth/me | success - 200 |
| 626 | GET | http://localhost:8080/api/companies?page=0&size=10 | success - 200 |
